gene_name	transcript_id	strand	nreads	ntranscripts	nFSM	nISM	nNIC	nNNC	nFSMreads	nISMreads	nNICreads	nNNCreads
CLDN34	ENST00000445307.4	+	7	2	2	0	0	0	7	0	0	0
CLDN4	ENST00000340958.4	+	4	2	0	1	0	1	0	2	0	2
CLDN5	ENST00000618236.2	-	252	26	1	0	0	25	167	0	0	85
CLDN6	ENST00000328796.5	-	56	3	2	0	0	1	53	0	0	3
CLDN7	ENST00000360325.11	-	18	6	4	0	2	0	14	0	4	0
CLDN9	ENST00000445369.3	+	35	10	10	0	0	0	35	0	0	0
CLDND1	ENST00000341181.11	-	50158	593	80	32	60	421	13640	4832	2438	29248
CLDND2	ENST00000291715.5	-	503	13	0	3	4	6	0	356	72	75
CLEC11A	ENST00000250340.9	+	326	33	5	9	1	18	59	169	4	94
CLEC14A	ENST00000342213.3	-	1422	20	20	0	0	0	1422	0	0	0
CLEC16A	ENST00000409790.6	+	277	51	1	22	9	19	10	151	37	79
CLEC18A	ENST00000288040.11	+	53	11	5	3	1	2	33	7	2	11
CLEC18B	ENST00000682950.1	-	114	21	4	9	5	3	42	31	29	12
CLEC18C	ENST00000541793.7	+	3	1	1	0	0	0	3	0	0	0
CLEC19A	ENST00000636231.2	+	6	2	1	1	0	0	2	4	0	0
CLEC1A	ENST00000315330.8	-	85	12	3	4	0	5	31	32	0	22
CLEC1B	ENST00000298527.11	-	13	3	2	0	0	1	10	0	0	3
CLEC2B	ENST00000228438.3	-	458	18	10	3	1	4	424	11	12	11
CLEC2D	ENST00000290855.11	+	47	14	0	12	0	2	0	43	0	4
CLEC2L	ENST00000422142.7	+	572	32	20	6	1	5	331	185	2	54
CLEC3A	ENST00000299642.10	+	6	1	1	0	0	0	6	0	0	0
CLEC3B	ENST00000296130.5	+	3239	17	4	4	2	7	3136	25	54	24
CLEC4A	ENST00000229332.12	+	91	17	5	12	0	0	44	47	0	0
CLEC4E	ENST00000299663.8	-	29	4	3	1	0	0	26	3	0	0
CLEC4G	ENST00000328853.11	-	646	24	1	7	9	7	2	496	123	25
CLEC4M	ENST00000327325.10	+	6	1	0	1	0	0	0	6	0	0
CLEC5A	ENST00000546910.6	-	2	1	1	0	0	0	2	0	0	0
CLEC7A	ENST00000304084.13	-	34	8	3	0	1	4	15	0	2	17
CLEC9A	ENST00000355819.6	+	97	11	0	9	0	2	0	89	0	8
CLGN	ENST00000325617.10	-	2579	101	10	67	6	18	1581	799	110	89
CLHC1	ENST00000401408.6	-	537	92	2	19	54	17	30	243	218	46
CLIC1	ENST00000375784.8	-	1731	30	3	5	2	20	1511	100	10	110
CLIC2	ENST00000369449.7	-	520	42	7	14	0	21	186	63	0	271
CLIC3	ENST00000494426.2	-	76	7	3	2	1	1	59	13	2	2
CLIC4	ENST00000374379.9	+	4998	106	20	28	5	53	4293	305	32	368
CLIC5	ENST00000339561.12	-	17	5	3	0	0	2	8	0	0	9
CLINT1	ENST00000411809.7	-	7209	199	33	71	17	78	2330	3530	93	1256
CLIP1	ENST00000620786.5	-	8977	512	23	177	42	270	519	3251	333	4874
CLIP2	ENST00000223398.11	+	2399	118	7	76	13	22	117	2038	44	200
CLIP3	ENST00000360535.9	-	39359	610	20	38	31	521	25708	9955	302	3394
CLIP4	ENST00000320081.10	+	1214	108	2	44	3	59	6	405	6	797
CLK1	ENST00000321356.9	-	28556	500	57	102	84	257	19632	5185	1294	2445
CLK2	ENST00000368361.9	-	1314	70	2	24	13	31	29	364	90	831
CLK3	ENST00000395066.9	+	7352	231	42	70	43	76	4327	1923	782	320
CLK4	ENST00000316308.9	-	10384	406	40	137	138	91	4681	2133	2534	1036
CLMN	ENST00000298912.9	-	869	37	2	23	2	10	7	777	8	77
CLMP	ENST00000448775.4	-	443	86	6	28	1	51	31	242	3	167
CLN3	ENST00000636147.2	-	3313	194	25	52	61	56	1968	737	352	256
CLN5	ENST00000377453.9	+	3273	63	38	9	0	16	3075	141	0	57
CLN6	ENST00000249806.11	-	1391	39	13	4	11	11	1167	61	61	102
CLN8	ENST00000331222.6	+	708	30	11	5	1	13	639	13	2	54
CLNS1A	ENST00000525428.6	-	26964	181	25	44	9	103	22398	3608	182	776
CLOCK	ENST00000513440.6	-	342	65	6	43	12	4	19	261	51	11
CLP1	ENST00000533682.2	+	2656	37	6	16	2	13	2226	237	13	180
CLPB	ENST00000538039.6	-	1018	88	14	24	0	50	575	301	0	142
CLPP	ENST00000245816.11	+	10363	106	17	17	7	65	9049	619	191	504
CLPS	ENST00000259938.7	-	13	4	2	0	0	2	9	0	0	4
CLPSL1	ENST00000373861.6	+	4	1	0	1	0	0	0	4	0	0
CLPSL2	ENST00000403376.4	+	32	7	5	0	2	0	27	0	5	0
CLPTM1	ENST00000337392.10	+	9908	176	9	42	18	107	6171	2937	219	581
CLPTM1L	ENST00000320895.10	-	3297	105	10	41	15	39	1174	1481	375	267
CLPX	ENST00000300107.7	-	4267	314	7	71	24	212	628	1273	209	2157
CLRN2	ENST00000511148.2	+	2	1	0	0	0	1	0	0	0	2
CLRN3	ENST00000368671.4	-	17	4	1	1	0	2	3	10	0	4
CLSPN	ENST00000318121.8	-	1915	132	0	74	1	57	0	1393	8	514
CLSTN1	ENST00000377298.9	-	9728	193	7	99	13	74	59	9270	55	344
CLSTN2	ENST00000458420.7	+	157	32	0	29	0	3	0	149	0	8
CLSTN3	ENST00000266546.11	+	9972	277	5	66	13	193	2735	3826	63	3348
CLTA	ENST00000345519.10	+	46148	414	9	45	13	347	36990	2677	671	5810
CLTB	ENST00000310418.9	-	8954	111	9	24	6	72	6707	1405	33	809
CLTC	ENST00000269122.8	+	24503	642	41	285	64	251	2960	16513	1601	3427
CLTCL1	ENST00000427926.6	-	3666	185	16	73	44	52	324	2622	267	453
CLTRN	ENST00000380342.4	-	287	21	3	2	4	12	21	9	84	173
CLU	ENST00000316403.15	-	986814	3583	52	132	103	3296	685528	232065	15902	53319
CLUAP1	ENST00000576634.6	+	7199	288	27	102	54	105	3968	799	807	1625
CLUH	ENST00000651024.2	-	584	50	0	20	1	29	0	401	2	181
CLUL1	ENST00000692774.1	+	821	76	0	17	3	56	0	78	48	695
CLVS1	ENST00000325897.5	+	5001	149	12	44	37	56	2318	821	1409	453
CLVS2	ENST00000275162.10	+	701	121	27	77	1	16	267	350	2	82
CLYBL	ENST00000339105.9	+	1453	85	11	36	3	35	540	630	18	265
CMAS	ENST00000229329.7	+	26013	229	8	40	6	175	19309	4762	61	1881
CMBL	ENST00000296658.4	-	6455	85	20	15	16	34	4902	844	578	131
CMC1	ENST00000466830.6	+	9062	122	30	3	32	57	7752	10	919	381
CMC2	ENST00000219400.8	-	25224	324	64	46	83	131	6481	588	12922	5233
CMC4	ENST00000369484.8	-	1129	25	8	1	1	15	914	2	3	210
CMIP	ENST00000537098.8	+	101	30	1	16	0	13	3	63	0	35
CMKLR1	ENST00000550402.6	-	16	4	4	0	0	0	16	0	0	0
CMPK1	ENST00000371873.10	+	11002	115	22	26	1	66	9838	717	2	445
CMPK2	ENST00000256722.10	-	552	20	7	2	0	11	393	62	0	97
CMSS1	ENST00000421999.8	+	1316	54	2	19	5	28	49	997	19	251
CMTM1	ENST00000379500.7	+	8	2	0	2	0	0	0	8	0	0
CMTM2	ENST00000268595.3	+	11	4	3	0	0	1	9	0	0	2
CMTM3	ENST00000567572.6	+	660	31	17	9	4	1	532	92	14	22
CMTM4	ENST00000394106.7	-	20	7	2	3	0	2	7	9	0	4
CMTM5	ENST00000339180.9	+	3714	84	41	4	7	32	3317	36	37	324
CMTM6	ENST00000205636.4	-	946	20	12	4	1	3	903	33	2	8
CMTM7	ENST00000334983.10	+	127	7	5	1	0	1	116	9	0	2
CMTM8	ENST00000307526.4	+	152	13	7	5	0	1	82	68	0	2
CMTR1	ENST00000373451.9	+	2116	149	6	58	46	39	769	729	215	403
CMTR2	ENST00000434935.7	-	294	20	14	2	1	3	261	9	18	6
CMYA5	ENST00000446378.3	+	405	48	0	40	7	1	0	368	35	2
CNBD2	ENST00000373973.7	+	80	13	0	2	4	7	0	6	9	65
CNBP	ENST00000422453.7	-	108577	474	47	36	36	355	97764	3951	2628	4234
CNDP1	ENST00000358821.8	+	11387	191	16	61	15	99	4366	5632	226	1163
CNDP2	ENST00000324262.9	+	20007	315	7	39	11	258	34	1202	319	18452
CNEP1R1	ENST00000427478.7	+	5123	81	18	18	5	40	4500	303	61	259
CNFN	ENST00000222032.10	-	549	5	1	2	0	2	2	539	0	8
CNGA1	ENST00000514170.7	-	9	4	1	2	0	1	2	5	0	2
CNGA3	ENST00000272602.7	+	375	49	14	14	16	5	180	51	120	24
CNGA4	ENST00000379936.3	+	20	7	2	2	1	2	4	8	2	6
CNGB1	ENST00000251102.13	-	106	7	1	1	4	1	2	2	100	2
CNGB3	ENST00000320005.6	-	12	4	0	0	0	3	0	0	0	10
CNIH1	ENST00000216416.9	-	23361	180	43	23	5	109	21319	812	50	1180
CNIH2	ENST00000311445.7	+	1608	59	6	11	5	37	594	631	31	352
CNIH3	ENST00000272133.4	+	2875	155	24	11	47	73	1703	278	513	381
CNIH4	ENST00000465271.6	+	12270	181	22	39	15	87	10634	793	110	630
CNKSR1	ENST00000361530.11	+	109	25	0	16	7	2	0	87	15	7
CNKSR2	ENST00000379510.5	+	3559	333	62	229	0	42	824	2494	0	241
CNKSR3	ENST00000607772.6	-	390	29	3	16	1	9	213	127	2	48
CNMD	ENST00000377962.8	-	552	37	3	9	11	14	258	168	56	70
CNN1	ENST00000252456.7	+	331	19	3	8	3	5	104	52	143	32
CNN2	ENST00000263097.9	+	2019	46	11	14	4	17	1654	101	33	231
CNN3	ENST00000370206.9	-	53586	405	43	53	24	285	43961	6103	216	3306
CNNM1	ENST00000356713.5	+	225	33	2	24	3	4	7	199	6	13
CNNM2	ENST00000369878.9	+	359	92	4	16	3	69	12	75	7	265
CNNM3	ENST00000305510.4	+	220	62	6	16	21	19	27	53	82	58
CNNM4	ENST00000377075.3	+	200	35	14	13	1	7	91	89	2	18
CNOT1	ENST00000317147.10	-	57869	740	37	267	92	344	11983	37874	1460	6552
CNOT10	ENST00000328834.10	+	3642	266	28	88	55	95	2030	755	381	476
CNOT11	ENST00000289382.8	+	2685	91	16	43	9	23	1700	757	75	153
CNOT2	ENST00000229195.8	+	13630	374	52	132	114	76	7429	2934	2890	377
CNOT3	ENST00000221232.11	+	545	54	4	35	9	6	274	155	100	16
CNOT4	ENST00000541284.6	-	2487	193	25	120	3	45	965	1309	10	203
CNOT6	ENST00000261951.9	+	420	89	5	62	8	14	27	300	27	66
CNOT6L	ENST00000504123.7	-	666	64	7	31	6	20	116	268	63	219
CNOT7	ENST00000361272.9	-	22295	233	49	49	48	87	18749	2041	886	619
CNOT8	ENST00000285896.11	+	14310	262	26	53	88	95	9786	1743	2288	493
CNOT9	ENST00000273064.11	+	5460	189	25	54	27	82	4220	686	182	369
CNP	ENST00000393892.8	+	27938	269	29	29	11	200	21423	5291	289	935
CNPPD1	ENST00000360507.10	-	8263	171	7	14	17	133	5674	773	235	1581
CNPY1	ENST00000636446.2	-	107	17	6	4	2	5	43	34	6	24
CNPY2	ENST00000273308.9	-	14945	159	44	26	23	66	12699	1014	490	742
CNPY3	ENST00000372836.5	+	8177	142	16	30	18	78	4957	1156	1110	954
CNPY4	ENST00000262932.5	+	2040	77	15	15	11	36	1480	180	158	222
CNR1	ENST00000369501.3	-	545	61	22	5	6	27	343	20	34	145
CNRIP1	ENST00000263655.4	-	24391	156	19	19	5	113	20562	823	592	2414
CNST	ENST00000366513.9	+	2766	136	1	57	6	72	2	2019	51	694
CNTD1	ENST00000588408.6	+	104	19	1	3	12	3	2	11	80	11
CNTF	ENST00000361987.6	+	2	1	1	0	0	0	2	0	0	0
CNTFR	ENST00000378980.8	-	3109	87	4	24	5	54	667	1443	27	972
CNTLN	ENST00000380647.8	+	1368	135	5	83	0	47	36	640	0	692
CNTN1	ENST00000551295.7	+	7858	558	26	308	41	182	1022	5095	275	1464
CNTN2	ENST00000331830.7	+	1224	127	18	86	1	22	283	832	2	107
CNTN3	ENST00000263665.7	-	933	95	26	48	0	21	311	526	0	96
CNTN4	ENST00000418658.6	+	8634	432	31	222	53	126	1404	5344	823	1063
CNTN5	ENST00000524871.6	+	254	60	7	37	1	15	40	139	6	69
CNTN6	ENST00000446702.7	+	6261	254	27	144	9	74	850	4778	58	575
CNTNAP1	ENST00000264638.9	+	1891	135	0	85	2	46	0	1682	9	196
CNTNAP2	ENST00000361727.8	+	19838	279	19	157	4	99	2826	4018	15	12979
CNTNAP3	ENST00000297668.11	-	71	12	0	11	0	1	0	62	0	9
CNTNAP3B	ENST00000377561.7	-	32	11	0	6	1	4	0	14	6	12
CNTNAP4	ENST00000611870.5	+	1858	188	12	137	9	30	219	1433	38	168
CNTNAP5	ENST00000682447.1	+	430	45	5	31	0	9	15	393	0	22
CNTRL	ENST00000373855.7	+	1374	215	1	129	57	27	2	882	324	164
CNTROB	ENST00000563694.6	+	3510	244	15	73	70	86	825	1703	486	496
COA1	ENST00000223336.11	-	12100	299	27	52	46	174	6618	3440	755	1287
COA3	ENST00000328434.8	-	44231	105	11	0	0	94	43268	0	0	963
COA4	ENST00000355693.5	-	8340	48	13	0	1	34	8025	0	6	309
COA5	ENST00000328709.8	-	18462	133	57	2	1	73	7428	57	5	10972
COA6	ENST00000366615.10	+	3399	72	33	3	0	36	2959	41	0	399
COA7	ENST00000371538.5	-	2432	103	25	5	1	72	2046	53	3	330
COA8	ENST00000409074.8	+	18100	245	38	33	50	124	14134	1777	895	1294
COASY	ENST00000393818.3	+	7714	203	22	11	56	114	4761	419	969	1565
COBL	ENST00000265136.12	-	2087	94	5	71	9	9	32	1989	27	39
COBLL1	ENST00000652658.2	-	285	43	18	16	6	3	179	80	18	8
COCH	ENST00000396618.9	+	1433	137	29	71	32	5	724	580	117	12
COG1	ENST00000299886.9	+	5187	265	17	120	22	106	1879	1827	427	1054
COG2	ENST00000366669.9	+	3569	134	5	67	16	46	2278	790	140	361
COG3	ENST00000349995.10	+	931	81	8	50	5	18	370	448	25	88
COG4	ENST00000323786.10	-	9384	183	6	48	53	76	6098	1902	511	873
COG5	ENST00000297135.9	-	2387	195	24	111	16	44	1086	1056	104	141
COG6	ENST00000455146.8	+	2587	149	7	78	9	55	1362	719	41	465
COG7	ENST00000307149.10	-	2868	91	5	27	13	46	1697	829	91	251
COG8	ENST00000306875.10	-	2645	99	14	34	4	47	1677	691	19	258
COIL	ENST00000240316.5	-	5039	87	5	24	19	39	3413	375	272	979
COL10A1	ENST00000651968.1	-	11	1	0	0	0	1	0	0	0	11
COL11A1	ENST00000370096.9	-	2823	204	11	159	1	33	172	2466	2	183
COL11A2	ENST00000341947.7	-	6	2	1	0	0	1	2	0	0	4
COL12A1	ENST00000322507.13	-	860	102	42	32	0	28	576	103	0	181
COL13A1	ENST00000645393.2	+	24	9	1	8	0	0	2	22	0	0
COL14A1	ENST00000297848.8	+	38	12	0	9	1	2	0	30	2	6
COL15A1	ENST00000375001.8	+	108	28	1	19	1	7	2	84	2	20
COL16A1	ENST00000373672.8	-	1580	131	8	76	14	33	70	1119	143	248
COL17A1	ENST00000648076.2	-	126	9	0	6	0	3	0	106	0	20
COL18A1	ENST00000651438.1	+	288	43	2	31	2	8	8	251	6	23
COL19A1	ENST00000620364.5	+	303	67	1	32	22	12	4	167	82	50
COL1A1	ENST00000225964.10	-	429	38	1	30	0	7	70	314	0	45
COL1A2	ENST00000297268.11	+	3100	233	13	99	0	121	193	1313	0	1594
COL20A1	ENST00000358894.11	+	127	30	10	13	2	5	47	61	4	15
COL21A1	ENST00000244728.10	-	101	19	1	10	2	6	15	44	5	37
COL22A1	ENST00000303045.11	-	48	14	0	6	0	8	0	24	0	24
COL23A1	ENST00000390654.8	-	62	17	0	13	0	4	0	52	0	10
COL24A1	ENST00000370571.7	-	422	62	0	50	2	10	0	389	5	28
COL25A1	ENST00000399132.6	-	21	9	0	5	2	2	0	13	4	4
COL26A1	ENST00000313669.12	+	741	61	19	23	3	16	499	162	7	73
COL27A1	ENST00000356083.8	+	106	10	0	9	0	1	0	104	0	2
COL28A1	ENST00000399429.8	-	19	7	0	4	0	3	0	11	0	8
COL2A1	ENST00000380518.8	-	279	33	0	25	0	8	0	239	0	40
COL3A1	ENST00000304636.9	+	4869	135	4	98	0	33	171	3191	0	1507
COL4A1	ENST00000375820.10	-	975	104	2	79	0	23	63	681	0	231
COL4A2	ENST00000360467.7	+	874	94	7	74	1	12	37	783	3	51
COL4A3	ENST00000396578.8	+	2	1	0	1	0	0	0	2	0	0
COL4A5	ENST00000328300.11	+	1243	179	13	121	13	32	130	952	66	95
COL4A6	ENST00000334504.12	-	951	108	9	57	10	32	141	660	25	125
COL5A1	ENST00000371817.8	+	87	27	0	26	0	1	0	85	0	2
COL5A2	ENST00000374866.9	-	1568	149	0	120	0	29	0	1400	0	168
COL5A3	ENST00000264828.4	-	450	40	0	23	1	16	0	401	2	47
COL6A1	ENST00000361866.8	+	1072	116	13	14	1	88	233	267	2	570
COL6A2	ENST00000300527.9	+	231	42	3	25	2	12	46	131	5	49
COL6A3	ENST00000295550.9	-	100	17	2	13	0	2	27	63	0	10
COL6A6	ENST00000358511.11	+	6	2	0	2	0	0	0	6	0	0
COL7A1	ENST00000681320.1	-	158	27	4	15	1	7	43	92	2	21
COL8A1	ENST00000652472.1	+	7	2	2	0	0	0	7	0	0	0
COL9A1	ENST00000357250.11	-	1301	128	22	46	2	58	499	542	8	252
COL9A2	ENST00000372748.8	-	791	74	2	34	9	29	66	556	64	105
COL9A3	ENST00000649368.1	+	1270	88	23	27	8	30	562	471	53	184
COLEC10	ENST00000332843.3	+	10	4	1	3	0	0	3	7	0	0
COLEC11	ENST00000349077.9	+	59	12	8	2	0	2	48	7	0	4
COLEC12	ENST00000400256.5	-	916	45	2	36	0	7	4	894	0	18
COLGALT1	ENST00000252599.9	+	503	57	25	20	2	10	259	184	5	55
COLGALT2	ENST00000361927.9	-	926	86	12	41	1	32	176	289	4	457
COLQ	ENST00000383788.10	-	195	32	13	9	1	9	88	51	2	54
COMMD1	ENST00000311832.6	+	10397	73	14	4	2	53	9857	169	24	347
COMMD10	ENST00000274458.9	+	12366	152	14	31	11	96	10311	1187	81	787
COMMD2	ENST00000473414.6	-	10728	157	54	24	12	67	9595	404	228	501
COMMD3	ENST00000376836.8	+	28172	276	26	59	55	136	20956	1470	3132	2614
COMMD4	ENST00000267935.13	+	7175	259	23	41	96	99	3622	1812	994	747
COMMD5	ENST00000305103.4	-	6038	50	19	0	1	30	5901	0	6	131
COMMD6	ENST00000682242.1	-	60050	246	18	19	47	162	1704	11037	3474	43835
COMMD7	ENST00000278980.11	-	16104	237	13	34	40	150	11390	1479	758	2477
COMMD8	ENST00000381571.6	-	9719	79	13	14	2	50	7811	611	4	1293
COMMD9	ENST00000263401.10	-	17333	189	26	12	14	137	13137	730	436	3030
COMP	ENST00000222271.7	-	6	2	0	2	0	0	0	6	0	0
COMT	ENST00000361682.11	+	23136	179	38	18	21	101	19438	2803	266	627
COMTD1	ENST00000372538.8	-	1812	68	14	17	30	7	1067	354	373	18
COP1	ENST00000367669.8	-	49450	552	20	66	124	342	3202	40600	2450	3198
COPA	ENST00000241704.8	-	18174	456	15	172	18	251	251	12290	142	5491
COPB1	ENST00000439561.7	-	12752	231	4	86	24	117	3869	6213	1811	859
COPB2	ENST00000333188.10	-	12183	301	27	138	26	110	5662	5012	553	956
COPE	ENST00000262812.9	-	45224	430	5	38	38	347	35856	3139	1090	5133
COPG1	ENST00000314797.10	+	15438	343	0	67	10	266	0	4791	25	10622
COPG2	ENST00000425248.5	-	2841	196	8	74	6	108	201	737	42	1861
COPRS	ENST00000302362.11	-	5200	46	1	8	0	37	12	2529	0	2659
COPS2	ENST00000388901.10	-	11412	247	29	86	7	125	8742	1832	22	816
COPS3	ENST00000268717.10	-	24068	357	17	51	108	181	1495	2608	5076	14889
COPS4	ENST00000264389.7	+	28644	256	16	69	25	146	23537	2852	537	1718
COPS5	ENST00000357849.9	-	21880	206	6	21	35	144	15399	2429	1543	2509
COPS6	ENST00000303904.8	+	43054	342	17	43	80	202	30488	3178	975	8413
COPS7A	ENST00000543155.6	+	23726	289	32	38	41	178	19163	2022	905	1636
COPS7B	ENST00000350033.8	+	7117	169	46	25	21	77	5823	371	227	696
COPS8	ENST00000354371.7	+	41381	355	24	49	39	243	34913	2103	398	3967
COPS9	ENST00000607357.2	-	39631	53	13	0	3	37	39271	0	19	341
COPZ1	ENST00000262061.7	+	26552	461	22	34	27	377	19156	3086	180	4128
COPZ2	ENST00000621465.5	-	103	18	2	6	6	4	19	38	35	11
COQ10A	ENST00000308197.10	+	1584	55	19	18	8	10	1363	127	59	35
COQ10B	ENST00000263960.7	+	8887	69	18	13	8	30	7899	483	117	388
COQ2	ENST00000647002.2	-	1584	53	5	16	5	27	505	924	56	99
COQ3	ENST00000254759.8	-	7333	97	4	14	33	46	4482	562	1900	389
COQ4	ENST00000300452.8	+	11242	185	34	28	11	112	659	446	75	10062
COQ5	ENST00000288532.11	-	8164	101	5	16	22	57	3252	3095	1534	280
COQ6	ENST00000334571.7	+	4828	243	21	61	91	70	444	856	935	2593
COQ7	ENST00000321998.10	+	3190	149	51	34	38	26	2363	460	250	117
COQ8A	ENST00000366777.4	+	3603	101	4	31	14	52	2148	1036	142	277
COQ8B	ENST00000324464.8	-	4017	209	30	48	85	46	1583	939	946	549
COQ9	ENST00000262507.11	+	12445	187	26	33	45	83	9341	986	1242	876
CORIN	ENST00000273857.9	-	16	4	1	1	0	2	3	5	0	8
CORO1A	ENST00000219150.10	+	9560	149	8	40	27	74	6385	2393	188	594
CORO1B	ENST00000341356.10	-	2712	66	4	14	25	23	1799	583	161	169
CORO1C	ENST00000261401.8	-	9476	267	21	76	30	140	5685	2623	189	979
CORO2A	ENST00000375077.5	-	153	19	4	8	0	7	103	26	0	24
CORO2B	ENST00000261861.10	+	3612	113	4	40	22	47	791	2374	90	357
CORO6	ENST00000388767.8	-	538	77	5	18	34	20	85	176	199	78
CORO7	ENST00000251166.9	-	1652	98	2	32	10	54	756	613	37	246
CORT	ENST00000377049.4	+	5880	31	13	0	0	18	5185	0	0	695
COTL1	ENST00000262428.5	-	3101	38	6	2	1	29	2202	779	6	114
COX10	ENST00000261643.8	+	1606	47	8	21	2	16	1347	147	17	95
COX11	ENST00000299335.8	-	7165	162	59	25	16	62	5912	403	370	480
COX14	ENST00000550487.6	+	11845	34	10	4	2	18	11627	12	137	69
COX15	ENST00000016171.6	-	2853	143	29	42	11	61	1695	293	140	725
COX16	ENST00000389912.7	-	31801	142	31	20	7	84	28891	1412	18	1480
COX17	ENST00000261070.7	-	23501	59	15	7	2	35	867	162	16	22456
COX18	ENST00000507544.3	-	1218	151	5	3	1	142	170	13	2	1033
COX19	ENST00000344111.4	-	4033	45	22	5	11	7	3901	51	56	25
COX20	ENST00000411948.7	+	28173	308	73	20	3	210	25167	932	19	2050
COX4I1	ENST00000253452.8	+	176912	369	27	30	33	279	31242	15241	2730	127699
COX4I2	ENST00000376075.4	+	138	12	3	5	1	3	112	15	3	8
COX5A	ENST00000322347.11	-	61342	177	17	11	6	143	40943	884	1498	18017
COX5B	ENST00000258424.3	+	120459	197	21	21	11	144	115756	1520	498	2685
COX6A1	ENST00000229379.3	+	194674	162	8	1	2	151	190611	2089	419	1555
COX6A2	ENST00000287490.5	-	121	5	5	0	0	0	121	0	0	0
COX6B1	ENST00000649813.2	+	90308	142	8	9	2	123	82020	4435	986	2867
COX6B2	ENST00000326529.9	-	11	2	0	2	0	0	0	11	0	0
COX6C	ENST00000520468.7	-	1228599	559	40	41	20	458	1072603	121552	17362	17082
COX7A1	ENST00000292907.8	-	11649	37	11	7	1	18	11086	335	6	222
COX7A2	ENST00000684430.2	-	127530	212	18	8	2	184	2296	3682	171	121381
COX7A2L	ENST00000234301.3	-	73686	303	19	10	4	269	61989	8144	53	3496
COX7B	ENST00000650309.2	+	64883	121	16	4	1	99	60750	2083	304	1743
COX7C	ENST00000247655.4	+	156502	153	24	10	5	114	148323	3735	57	4387
COX8A	ENST00000314133.4	+	64239	54	3	0	0	51	63813	0	0	426
CP	ENST00000264613.11	-	73	16	2	9	3	2	9	41	12	11
CPA2	ENST00000222481.9	+	9	4	0	1	2	1	0	2	5	2
CPA4	ENST00000222482.10	+	47	7	0	5	0	2	0	39	0	8
CPAMD8	ENST00000443236.7	-	108	18	6	3	6	3	63	17	22	6
CPB1	ENST00000282957.9	+	6	2	2	0	0	0	6	0	0	0
CPD	ENST00000225719.9	+	196	51	6	45	0	0	25	171	0	0
CPE	ENST00000402744.9	+	46535	346	13	59	6	268	12977	26121	74	7363
CPEB1	ENST00000684509.1	-	1691	91	25	24	18	24	891	295	388	117
CPEB2	ENST00000538197.7	+	144	27	5	17	1	4	14	120	2	8
CPEB3	ENST00000265997.5	-	239	27	0	3	1	23	0	88	2	149
CPEB4	ENST00000265085.10	+	699	66	22	25	7	12	144	468	23	64
CPED1	ENST00000310396.10	+	19	9	0	7	1	1	0	14	3	2
CPLANE1	ENST00000651892.2	-	2769	239	11	161	12	55	41	2356	37	335
CPLANE2	ENST00000375599.8	-	106	10	5	1	0	4	80	5	0	21
CPLX1	ENST00000304062.11	-	1747	74	9	13	1	50	1395	123	3	224
CPLX2	ENST00000393745.8	+	5548	241	29	39	9	163	1442	3011	95	998
CPLX3	ENST00000395018.6	+	1352	19	11	3	0	5	1317	22	0	13
CPM	ENST00000551568.6	-	596	50	8	8	14	20	187	33	136	240
CPNE1	ENST00000397443.7	-	13092	262	23	48	107	84	9161	1290	2238	403
CPNE2	ENST00000290776.13	+	1915	79	23	37	9	10	719	1130	23	43
CPNE3	ENST00000517490.6	+	3920	156	16	70	9	61	2082	1039	141	658
CPNE4	ENST00000429747.6	-	4547	144	23	40	13	68	3205	939	73	330
CPNE5	ENST00000244751.7	-	2336	131	5	53	15	58	314	1024	583	415
CPNE6	ENST00000689861.1	+	14265	315	5	54	61	195	127	11297	1227	1614
CPNE7	ENST00000319518.13	+	423	49	10	32	0	7	109	286	0	28
CPNE8	ENST00000331366.10	-	1584	142	22	65	7	47	669	647	24	242
CPNE9	ENST00000383832.8	+	1434	84	0	26	30	28	0	421	885	128
CPO	ENST00000272852.4	+	10	4	0	1	0	3	0	2	0	8
CPOX	ENST00000647941.2	-	1575	53	8	26	2	15	267	1170	10	49
CPPED1	ENST00000381774.9	-	2338	51	18	17	0	16	1025	177	0	1136
CPQ	ENST00000220763.10	+	2382	68	4	28	8	28	38	698	40	1606
CPS1	ENST00000233072.10	+	80	18	1	14	0	3	3	50	0	27
CPSF1	ENST00000616140.2	-	3775	155	3	39	37	76	93	2912	118	652
CPSF2	ENST00000298875.9	+	1867	163	1	116	2	44	3	709	5	1150
CPSF3	ENST00000238112.8	+	10852	186	10	77	8	91	7639	2181	214	818
CPSF4	ENST00000292476.10	+	4366	210	44	26	29	111	2418	500	887	561
CPSF6	ENST00000435070.7	+	8549	314	15	137	5	157	557	1933	24	6035
CPSF7	ENST00000439958.8	-	5239	157	9	35	51	62	2991	1146	443	659
CPT1A	ENST00000265641.10	-	421	86	8	12	1	65	80	49	8	284
CPT1B	ENST00000312108.12	-	469	67	3	38	7	19	11	318	39	101
CPT1C	ENST00000598293.6	+	7612	409	46	57	164	142	3630	1481	1648	853
CPT2	ENST00000371486.4	+	860	49	11	35	0	3	567	287	0	6
CPTP	ENST00000343938.9	+	1204	27	11	3	0	13	1116	51	0	37
CPVL	ENST00000265394.10	-	1887	76	3	22	23	28	380	397	935	175
CPXM1	ENST00000380605.3	-	1615	98	1	24	47	26	299	343	385	588
